movie_name,ranking,score,score_num
肖申克的救赎,1,9.6,992370
霸王别姬,2,9.5,721033
这个杀手不太冷,3,9.4,935240
阿甘正传,4,9.4,795495
美丽人生,5,9.5,464744
千与千寻,6,9.2,744145
泰坦尼克号,7,9.2,734847
辛德勒的名单,8,9.4,423509
盗梦空间,9,9.3,836995
机器人总动员,10,9.3,548783
海上钢琴师,11,9.2,646698
三傻大闹宝莱坞,12,9.2,750623
忠犬八公的故事,13,9.2,515920
放牛班的春天,14,9.2,501838
大话西游之大圣娶亲,15,9.2,547851
楚门的世界,16,9.1,517877
教父,17,9.2,377532
龙猫,18,9.1,463046
熔炉,19,9.2,300304
乱世佳人,20,9.2,294273
星际穿越,21,9.2,545605
触不可及,22,9.1,406078
无间道,23,9.0,447412
当幸福来敲门,24,8.9,593867
天堂电影院,25,9.1,333020
怦然心动,26,8.9,617434
十二怒汉,27,9.4,187257
搏击俱乐部,28,9.0,428744
少年派的奇幻漂流,29,9.0,629384
鬼子来了,30,9.2,254292
指环王3：王者无敌,31,9.1,309261
蝙蝠侠：黑暗骑士,32,9.0,358518
活着,33,9.1,299013
天空之城,34,9.0,362699
罗马假日,35,8.9,418651
大话西游之月光宝盒,36,8.9,441196
飞屋环游记,37,8.9,544165
疯狂动物城,38,9.2,568198
窃听风暴,39,9.1,244163
两杆大烟枪,40,9.1,292338
飞越疯人院,41,9.0,296447
控方证人,42,9.6,106559
闻香识女人,43,8.9,350895
海豚湾,44,9.3,193285
哈尔的移动城堡,45,8.9,384589
V字仇杀队,46,8.8,455100
辩护人,47,9.1,230632
死亡诗社,48,8.9,302750
教父2,49,9.1,203428
美丽心灵,50,8.9,327944
指环王2：双塔奇兵,51,9.0,291157
指环王1：魔戒再现,52,8.9,325714
情书,53,8.8,404350
饮食男女,54,9.1,218062
美国往事,55,9.1,188250
狮子王,56,8.9,303654
钢琴家,57,9.0,216702
天使爱美丽,58,8.7,512861
七宗罪,59,8.7,462283
摔跤吧！爸爸,60,9.1,498972
被嫌弃的松子的一生,61,8.9,313223
素媛,62,9.1,199936
小鞋子,63,9.2,149881
致命魔术,64,8.8,369218
勇敢的心,65,8.8,311123
音乐之声,66,8.9,247360
剪刀手爱德华,67,8.7,515656
本杰明·巴顿奇事,68,8.7,418726
低俗小说,69,8.8,358114
看不见的客人,70,8.8,358934
西西里的美丽传说,71,8.7,377231
黑客帝国,72,8.8,301073
拯救大兵瑞恩,73,8.9,256764
沉默的羔羊,74,8.7,377178
入殓师,75,8.8,334086
蝴蝶效应,76,8.7,407121
玛丽和马克思,77,8.9,242056
让子弹飞,78,8.7,664141
春光乍泄,79,8.8,264252
大闹天宫,80,9.2,108832
心灵捕手,81,8.8,289387
阳光灿烂的日子,82,8.8,287619
幽灵公主,83,8.8,250036
第六感,84,8.8,248472
末代皇帝,85,8.9,183124
重庆森林,86,8.7,351951
禁闭岛,87,8.6,382506
大鱼,88,8.7,267301
狩猎,89,9.0,139135
布达佩斯大饭店,90,8.8,335369
射雕英雄传之东成西就,91,8.7,291732
哈利·波特与魔法石,92,8.7,277103
甜蜜蜜,93,8.8,244564
致命ID,94,8.6,338092
一一,95,8.9,164404
阳光姐妹淘,96,8.8,284648
断背山,97,8.6,338459
告白,98,8.7,361616
猫鼠游戏,99,8.7,243628
上帝之城,100,8.9,164737
加勒比海盗,101,8.6,366107
摩登时代,102,9.2,95361
穿条纹睡衣的男孩,103,8.9,157690
阿凡达,104,8.6,555538
爱在黎明破晓前,105,8.7,233465
消失的爱人,106,8.7,377406
风之谷,107,8.8,185581
爱在日落黄昏时,108,8.7,208934
侧耳倾听,109,8.8,178258
超脱,110,8.8,181907
